"chirpe_analytics","sqlite","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","true","i1"
"chirpe_data","sqlite","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i2"
"demofp","svg","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i3"
"floor_plan","svg","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i4"
"fp","svg","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i5"
"fp_no_names","svg","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i6"
"svg","css","/a2z.Mobile.MGMA13.apk/assets","26","2013-09-20 14:08:16.000","false","false","true","true","false","false","i7"
"svg","html","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i8"
"svg_pan","js","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i9"
"walkingMapSample","pdf","/a2z.Mobile.MGMA13.apk/assets","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i10"
"abs__primary_text_disable_only_holo_dark","xml","/a2z.Mobile.MGMA13.apk/res/color","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i11"
"abs__primary_text_disable_only_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/color","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i12"
"abs__primary_text_holo_dark","xml","/a2z.Mobile.MGMA13.apk/res/color","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i13"
"abs__primary_text_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/color","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i14"
"abs__activated_background_holo_dark","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i15"
"abs__activated_background_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i16"
"abs__btn_cab_done_holo_dark","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i17"
"abs__btn_cab_done_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i18"
"abs__ic_clear","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i19"
"abs__ic_clear_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i20"
"abs__ic_menu_moreoverflow_holo_dark","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i21"
"abs__ic_menu_moreoverflow_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","i22"
